"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"4483","ABBLAB","EQ","PHARMACIA HEALTHCARE LTD",0.01,1,"","",0,5,"INE252B01025",141.2,83.6,709.05,76.4,"","","",0,0,0,159.9,106.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PHARMACIA"
"4487","ALKAMI","EQ","ALKYL AMINES CHEMICALS LIMITED",0.01,1,"","",0,2,"INE150B01039",4749,2516.05,4749,0.84,"","","",0,0,0,3139.8,2093.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ALKYLAMINE"
"4491","HITHOM","EQ","JOHNSON CONTROLS HITACHI AIR I",0.01,1,"","",0,10,"INE782A01015",2375,1590.4,3484.4,30.73,"","","",0,0,0,1934.4,1289.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","JCHAC"
"4503","MPHLIM","EQ","MPHASIS LIMITED",0.01,1,"","",0,10,"INE356A01018",3659.75,1974,3659.75,3.63,"","","",0,0,0,2396.95,1961.15,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MPHASIS"
"4522","SIGIND","EQ","SIGNET INDUSTRIES LIMITED",0.01,1,"","",0,10,"INE529F01035",69.45,27.95,745,13.05,"","","",0,0,0,37.1,24.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SIGIND"
"4525","DYNTEC","EQ","DYNAMATIC TECHNOLOGIES LTD",0.01,1,"","",0,10,"INE221B01012",3380,1388.1,4233,10,"","","",0,0,0,2028.9,1352.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","DYNAMATECH"
"4529","ICINEX","EQ","ICICI PRUD NIFTY NEXT 50 ETF",0.01,1,"","",0,1,"INF109KC1NS5",50.97,35.2,50.97,17,"","","",0,0,0,43.96,29.32,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ICICINXT50"
"4546","VATMUS","EQ","VATSA MUSIC LTD",0.01,1,"","",0,10,"INE816A01029",304.25,234,421.49,3.3,"","","",0,0,0,294,196,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","VATSMUSC"
"4562","PARCON","EQ","LOTTE INDIA CORPORATION LTD",0.01,1,"","",0,10,"INE185A01011",540,190,550,32.85,"","","",0,0,0,589.6,482.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","LOTTEINDIA"
"4572","SOUIND","EQ","SOUND CRAFT INDUSTRIES LT",0.01,1,"","",0,2,"INE271A01027",20.7,0.35,41.4,0.35,"","","",0,0,0,0.7,0.5,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SOUNDCRAFT"
"4587","RAMIND","EQ","RAMCO INDUSTRIES LIMITED",0.01,1,"","",0,1,"INE614A01028",366.65,166,366.65,4.6,"","","",0,0,0,200.6,133.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","RAMCOIND"
"4590","CLARIA","EQ","CLARIANT (INDIA) LIMITED",0.01,1,"","",0,10,"INE221A01014",407.9,220,666.67,67,"","","",0,0,0,421.2,280.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CLARIANT"
"4594","KOTPET","EQ","KOTHARI PETROCHEMICALS LIMITED",0.01,1,"","",0,10,"INE720A01015",124.3,39.7,124.3,0.15,"","","",0,0,0,82.7,55.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KOTHARIPET"
"4598","HERFOO","EQ","HERITAGE FOODS LIMITED",0.01,1,"","",0,5,"INE978A01027",565,250,888.95,1.03,"","","",0,0,0,304.5,203,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","HERITGFOOD"
"4619","ESCMF","EQ","ESCORTS MF-IB GROWTH",0.01,1,"","",0,10,"INF206A01014",12.6,0,0,0,"","","",0,0,0,15.15,10.1,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ESCMFGROW"
"4633","CABIND","EQ","CABOT INDIA LIMITED",0.01,1,"","",0,10,"INE144B01016",101,77.05,251,55.55,"","","",0,0,0,114,76,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CABOTINDIA"
"4638","DENBAN","EQ","DENA BANK",0.01,1,"","",0,10,"INE077A01010",21.6,10.45,151,4.6,"","","",0,0,0,15.15,10.15,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","DENABANK"
"4642","ELGTYR","EQ","ELGITREAD (INDIA) LIMITED",0.01,1,"","",0,1,"INE257B01024",15.45,6.5,56.5,4.5,"","","",0,0,0,10.65,7.1,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ELGIRUBBER"
"4656","SHIBIM","EQ","SHIVALIK BIMETAL CONTROLS LTD",0.01,1,"","",0,2,"INE386D01027",584,115.1,584,115.1,"","","",0,0,0,450.65,300.45,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SBCL"
"4668","BANBAR","EQ","BANK OF BARODA",0.01,1,"","",0,2,"INE028A01039",122.7,72.5,228.9,6.3,"","","",0,0,0,100.25,82.05,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BANKBARODA"
